                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                     35,                 1.8961,                 1.0013,                0.91105,              0.0093466,              0.0093466,              0.0093466,                0.93106,                0.38766,                0.66021,                0.35812,                 1.5659,                  0.784,                0.78734
                     36,                 1.8569,                0.96459,                0.91115,              0.0093268,              0.0093268,              0.0093268,                0.90567,                0.40584,                0.65665,                0.37826,                 1.5089,                0.76532,                0.78707
                     37,                 1.8747,                  0.974,                0.90992,               0.009307,               0.009307,               0.009307,                0.93641,                0.34397,                0.63945,                  0.358,                 1.5093,                0.79485,                 0.7835
                     38,                 1.8729,                0.95475,                0.91711,              0.0092872,              0.0092872,              0.0092872,                0.90875,                0.34718,                0.63055,                0.36497,                 1.4977,                 0.7719,                0.78443
                     39,                 1.8726,                0.96448,                0.90986,              0.0092674,              0.0092674,              0.0092674,                0.94173,                0.40816,                0.67591,                0.39127,                 1.5056,                0.76062,                0.78603
                     40,                 1.8543,                0.94167,                0.90613,              0.0092476,              0.0092476,              0.0092476,                 0.9558,                0.32694,                0.64092,                0.36833,                 1.5005,                0.73907,                0.78455
                     41,                 1.8524,                0.95528,                0.90143,              0.0092278,              0.0092278,              0.0092278,                0.94737,                0.43795,                0.69422,                 0.3925,                 1.4992,                0.76799,                 0.7862
                     42,                 1.8264,                0.94322,                0.90161,               0.009208,               0.009208,               0.009208,                 0.9041,                0.34988,                0.63014,                0.35289,                 1.4959,                0.74621,                0.78493
                     43,                 1.8489,                0.94327,                0.90495,              0.0091882,              0.0091882,              0.0091882,                0.90821,                0.41486,                0.66566,                0.37476,                  1.493,                0.77008,                0.78225
                     44,                 1.8319,                0.94585,                0.90427,              0.0091684,              0.0091684,              0.0091684,                0.92428,                0.42913,                0.67525,                0.39648,                 1.4577,                0.73712,                0.77798
                     45,                 1.8245,                0.92819,                0.90428,              0.0091486,              0.0091486,              0.0091486,                0.93555,                0.44874,                0.69772,                0.41674,                 1.4811,                0.73896,                0.78065
                     46,                 1.8227,                0.91118,                0.90491,              0.0091288,              0.0091288,              0.0091288,                0.92417,                0.40381,                0.66776,                0.38288,                 1.4898,                0.72849,                0.78116
                     47,                 1.8436,                0.93073,                0.90422,               0.009109,               0.009109,               0.009109,                0.94324,                0.45662,                0.70267,                0.39981,                 1.4782,                0.72867,                0.77765
                     48,                 1.8299,                 0.9203,                0.90831,              0.0090892,              0.0090892,              0.0090892,                0.93099,                0.48375,                0.70655,                0.40574,                 1.4639,                0.73443,                0.78058
                     49,                 1.8079,                 0.9147,                0.90513,              0.0090694,              0.0090694,              0.0090694,                0.94018,                0.46588,                0.70599,                0.40393,                 1.4723,                 0.7401,                0.78125
                     50,                 1.8157,                0.92139,                0.90145,              0.0090496,              0.0090496,              0.0090496,                0.95889,                0.45738,                0.71077,                0.39347,                 1.4385,                0.72875,                0.77698
                     51,                  1.818,                0.90788,                0.90567,              0.0090298,              0.0090298,              0.0090298,                0.95957,                0.36572,                0.66481,                0.37867,                 1.4323,                0.73661,                0.77864
                     52,                 1.8315,                0.93786,                0.90408,                0.00901,                0.00901,                0.00901,                0.92986,                0.45305,                0.69177,                0.38045,                 1.4371,                0.72315,                0.77948
                     53,                 1.7977,                0.91152,                0.89959,              0.0089902,              0.0089902,              0.0089902,                0.94698,                0.42977,                0.68835,                0.39208,                  1.423,                0.71327,                 0.7759
                     54,                 1.8064,                0.89941,                0.90465,              0.0089704,              0.0089704,              0.0089704,                0.93511,                0.47353,                0.70713,                0.41523,                 1.4419,                 0.7008,                0.77623
                     55,                 1.8051,                0.90355,                0.90128,              0.0089506,              0.0089506,              0.0089506,                0.96141,                0.41806,                0.68843,                0.38478,                 1.4392,                0.70585,                0.77745
                     56,                 1.7861,                0.90051,                0.90121,              0.0089308,              0.0089308,              0.0089308,                0.93691,                0.46773,                 0.6998,                0.39039,                 1.4217,                0.71199,                0.77767
                     57,                  1.797,                0.90765,                0.90258,               0.008911,               0.008911,               0.008911,                0.94186,                0.44697,                0.69496,                0.39065,                  1.405,                0.70717,                0.77379
                     58,                 1.7742,                0.88509,                0.89874,              0.0088912,              0.0088912,              0.0088912,                0.93066,                0.41336,                0.67457,                0.38627,                 1.4158,                0.71292,                0.77862
                     59,                 1.7902,                0.89281,                0.90043,              0.0088714,              0.0088714,              0.0088714,                0.96557,                 0.3839,                0.67508,                0.39055,                  1.429,                0.71627,                0.77663
                     60,                 1.7646,                0.88885,                0.89449,              0.0088516,              0.0088516,              0.0088516,                0.93437,                0.49501,                0.71446,                0.42351,                  1.419,                0.70656,                 0.7759
                     61,                 1.7769,                0.88785,                 0.9033,              0.0088318,              0.0088318,              0.0088318,                0.94214,                0.48519,                0.71408,                0.41746,                 1.4097,                0.68445,                0.77478
                     62,                 1.7874,                0.89611,                0.89803,               0.008812,               0.008812,               0.008812,                 0.9289,                0.41643,                0.67605,                0.39324,                 1.4078,                0.69969,                0.77501
                     63,                 1.7849,                 0.8809,                 0.8894,              0.0087922,              0.0087922,              0.0087922,                0.93018,                0.44356,                0.68755,                0.39473,                 1.3912,                 0.7012,                0.77434
                     64,                 1.7696,                0.87606,                0.89817,              0.0087724,              0.0087724,              0.0087724,                0.93374,                0.41378,                0.67399,                 0.3918,                  1.392,                0.69373,                0.77216
                     65,                 1.7668,                0.87279,                0.89578,              0.0087526,              0.0087526,              0.0087526,                 0.9428,                 0.4234,                0.68205,                0.38988,                 1.3979,                0.69224,                0.77216
                     66,                 1.7532,                0.87282,                0.89754,              0.0087328,              0.0087328,              0.0087328,                0.93803,                0.42638,                 0.6824,                 0.3963,                 1.3754,                0.68566,                0.77018
                     67,                 1.7749,                0.86817,                0.89454,               0.008713,               0.008713,               0.008713,                0.94592,                0.49927,                0.71953,                0.41138,                 1.3766,                 0.6748,                0.76917
                     68,                  1.763,                0.86663,                0.89445,              0.0086932,              0.0086932,              0.0086932,                0.93633,                0.43971,                0.68762,                0.39475,                 1.3705,                0.67739,                0.76998
                     69,                 1.7449,                 0.8511,                0.89497,              0.0086734,              0.0086734,              0.0086734,                0.94355,                0.47618,                0.70749,                0.40749,                 1.3779,                0.67319,                0.77024
                     70,                 1.7571,                0.87632,                0.89613,              0.0086536,              0.0086536,              0.0086536,                0.92875,                 0.4264,                 0.6771,                0.39747,                 1.3801,                0.67976,                0.77157
                     71,                 1.7441,                0.84802,                0.90061,              0.0086338,              0.0086338,              0.0086338,                0.94318,                0.47712,                0.70782,                0.39807,                 1.3729,                0.67841,                0.77236
                     72,                 1.7415,                0.84462,                0.89612,               0.008614,               0.008614,               0.008614,                0.94524,                0.46161,                0.70115,                0.41541,                 1.3682,                0.66852,                0.77178
                     73,                 1.7431,                0.85618,                0.89428,              0.0085942,              0.0085942,              0.0085942,                0.93707,                0.47238,                0.70152,                0.39806,                 1.3749,                0.68342,                0.77187
                     74,                 1.7602,                0.87397,                0.89058,              0.0085744,              0.0085744,              0.0085744,                 0.9392,                0.47461,                0.70887,                0.39866,                 1.3597,                0.67833,                0.76917
                     75,                 1.7455,                0.85088,                 0.8904,              0.0085546,              0.0085546,              0.0085546,                0.94394,                 0.4903,                0.71895,                0.41464,                 1.3669,                0.67961,                0.76885
                     76,                 1.7537,                0.85635,                0.89361,              0.0085348,              0.0085348,              0.0085348,                0.94109,                 0.4719,                  0.706,                0.41234,                 1.3656,                0.67466,                0.76949
                     77,                 1.7494,                0.85971,                 0.8909,               0.008515,               0.008515,               0.008515,                0.94459,                0.51381,                0.72767,                0.42224,                 1.3704,                0.68259,                0.76963
                     78,                  1.729,                0.83313,                0.88728,              0.0084952,              0.0084952,              0.0084952,                0.91979,                 0.5068,                0.72349,                0.42013,                 1.3546,                   0.67,                0.76809
                     79,                 1.7446,                0.86003,                 0.8934,              0.0084754,              0.0084754,              0.0084754,                0.94475,                 0.4713,                0.70797,                0.40936,                 1.3521,                0.65558,                0.76542
