timestamp_sec,target_id,truth_e_m,truth_n_m,truth_u_m,track_e_m,track_n_m,track_u_m,match_error_m
10.0,0,-817.6154971480079,952.7704398376931,175.09456847591042,-841.1086998365754,961.01836814577,187.461507410647,27.80108042067422
10.0,1,847.4164957161587,367.9892783286266,44.48709658442879,832.2925663612629,379.9595793522428,42.84858455598726,19.35732593606915
12.0,0,-793.2334306682369,952.8109408064762,175.21039132211493,-816.9032660277749,953.402562856189,181.99628309681913,24.63045776625635
12.0,1,871.5305259597038,367.8852738467337,44.63289762706627,840.3558850332453,382.7305672998929,41.53171942510443,34.66782774914459
14.0,0,-769.4272722857647,952.8492628684818,175.3113218011695,-772.8803643067998,933.5841269117507,192.37742514692042,25.967695148875286
14.0,1,895.4509694018252,367.79457190769716,44.76250924770508,862.5558813790345,377.9540702022404,43.603707284527765,34.447714635572524
16.0,0,-745.005765669752,952.8491070117994,175.36056612071775,-737.359758484529,955.3445298352509,180.5505754064532,9.572082183637157
16.0,1,919.2959302223006,367.71246062748753,44.80618489770057,891.2684367882508,379.18658723867986,44.86801303776727,30.285306543013245
18.0,0,-721.1162971845372,952.8303040355772,175.389744322312,-724.3030450340985,951.1441324922085,178.9046843467885,5.035209996218355
18.0,1,943.154781032625,367.64658083834195,44.85283084711382,920.435063515173,383.4265259786388,43.0746214402739,27.71920383773973
20.0,0,-697.163229028982,952.7774010614552,175.4303540433072,-727.7662343063482,960.6534094808579,178.878787749717,31.787845722170506
20.0,1,967.1965600617967,367.58712334943095,44.887536761865,945.5941249208663,381.9991840506876,42.28839037594763,26.098434045172873
22.0,0,-673.2163288656578,952.8040330285991,175.44462805088034,-704.7957484057251,954.8646022773557,180.17116065214282,31.997590449083873
22.0,1,991.5179391673969,367.508039834154,44.90795183669466,970.306230302848,386.2504794430681,48.26894889568731,28.504595009905554
24.0,0,-649.1160433611811,952.796198071552,175.35517784619736,-675.8264007095497,958.1605314858107,181.93126955562118,28.0261350319239
24.0,1,1015.4182522631577,367.46243843963265,44.87992190478054,998.3455098591265,383.977954657286,49.02449325487697,24.112616631257865
26.0,0,-625.0218066690297,952.8166939440166,175.33044264997122,-648.3399096127442,963.2992620075016,178.92669730767142,25.817652985162955
26.0,1,1039.3423766419658,367.40871454109185,44.87236211715162,1023.2390409968746,381.2053452739492,45.993093328795425,21.234888201401983
28.0,0,-601.1225360737069,952.8275641154333,175.25817835540056,-633.1212583969452,965.3302831249181,179.245210734174,34.5851505727419
28.0,1,1063.176276902089,367.36947323669006,44.83097743423516,1049.120478931736,382.87328938330677,47.95705316500747,21.159067114738264
30.0,0,-577.1424699493265,952.8524852389912,175.17679730576137,-593.1535051565637,965.5846492594347,175.66901680962792,20.462246433147392
30.0,1,1086.843236290763,367.3698834242748,44.79078574768912,1075.4681019156308,377.29341775512637,50.86937248685227,16.27327356168488
32.0,0,-553.1422258509788,952.8745068816413,175.06678813402294,-567.4520067645142,965.1381456275062,177.3052295581688,18.978337258353097
32.0,1,1110.837675111623,367.34936496208906,44.70701707867371,1102.6045703045424,378.70916706504937,45.99529273130241,14.088604357421273
34.0,0,-529.4107781287546,952.8737086382688,174.97147119384067,-542.7274963119056,961.1005590987749,173.42260648583573,15.729432079789044
34.0,1,1134.6317430937977,367.3428878946602,44.6204084549909,1130.248812009156,375.68755854787815,46.71468530114013,9.655548079302031
36.0,0,-505.43174311205473,952.8887005455608,174.86621340694217,-513.7763761356165,962.6272819761119,169.9678281886001,13.728330063218335
36.0,1,1158.694896387232,367.3166235351949,44.58308612544318,1154.7125879395894,373.77230683946465,46.93199486119756,7.940528933647641
38.0,0,-481.334325692393,952.9329173033192,174.78154804721748,-488.0744477876965,958.9090782699687,166.4669060785219,12.258752661934984
38.0,1,1182.9032867238147,367.29190923654335,44.47702706229094,1180.648265036924,371.2942554284984,44.536834499729,4.594287189344809
40.0,0,-457.2826516446443,952.9711475702229,174.68493467523467,-466.80994432089705,956.7654394116264,166.1056800792016,13.370473654297918
40.0,1,1206.8830559965256,367.27403605677,44.367530418161394,1205.3969723689222,372.3909981333637,43.10474395359372,5.475981655979557
42.0,0,-433.07700575542543,953.0336983981119,174.5557865678436,-438.7001507744782,955.3119612931821,170.027254289644,7.5708550586473935
42.0,1,1231.0364859715864,367.2572060023597,44.29186502276451,1228.4700360301167,363.98149913102776,47.97990387440244,5.560445250171242
44.0,0,-408.7878784995262,953.0259000286085,174.46592698383805,-406.04685617530254,956.7346247890222,167.38547648013093,8.449888878905117
44.0,1,1255.1378041841037,367.2500113525995,44.172929908592884,1251.141966383847,365.6541616014425,47.4112149907404,5.385159833049349
46.0,0,-384.8015931087882,953.0699677908594,174.38356043249684,-382.405282802801,953.5839473647106,177.08761771526866,3.64943884363446
46.0,1,1279.004595024507,367.2020981493826,44.07850338606767,1272.6642894512413,359.46574971940305,44.20070004871957,10.003274154835166
48.0,0,-360.5564805069622,953.0879464713571,174.29411794226104,-358.89230544232714,950.1332295837756,170.76615687664057,4.89349975089879
48.0,1,1302.8247592719965,367.1773370750519,43.95960055915012,1296.5651561239529,365.3270502606377,41.941540577217054,6.832185518358884
50.0,0,-336.2905800466837,953.1176330292394,174.19130823777752,-328.24405727536725,946.7434864513308,171.95202442357578,10.506696212726643
50.0,1,1326.781659193543,367.16982740868843,43.86076408107715,1320.4839229818076,366.9795258119316,37.60232594215857,8.880638717400997
52.0,0,-312.0707738722232,953.1185391194607,174.14408810463556,-304.85104472995374,945.5925515878937,171.21684590929164,10.832069242911933
