1778229166.4142995,208.3,-11.0,1909.1,133961,-11.0
1778229166.4143977,288.8,-6.0,2066.5,133962,-6.0
1778229166.4144156,291.1,-12.0,3842.8,133963,-12.0
1778229166.4144285,294.7,-11.0,3083.3,133964,-11.0
1778229166.414439,299.1,-12.0,3842.8,133965,-12.0
1778229166.4144487,305.6,-12.0,2923.5,133966,-12.0
1778229166.4145315,314.7,-11.0,3190.8,133967,-11.0
1778229166.4145422,12.6,-12.0,1881.7,133968,-12.0
1778229166.4145517,19.8,-6.0,2696.1,133969,-6.0
1778229166.4145627,26.4,-11.0,2263.9,133970,-11.0
1778229166.4145718,77.7,-11.0,2223.9,133971,-11.0
1778229166.4145806,89.0,-12.0,2736.1,133972,-12.0
1778229166.4145894,109.8,-6.0,147.8,133973,-6.0
1778229166.4145985,110.9,-11.0,130.4,133974,-11.0
1778229166.4146073,110.9,-11.0,155.3,133975,-11.0
1778229166.414616,115.7,-12.0,2198.9,133976,-12.0
1778229166.414625,116.5,-12.0,132.8,133977,-12.0
1778229166.4146345,142.7,-6.0,2411.3,133978,-6.0
1778229166.4146433,178.6,-12.0,2051.5,133979,-12.0
1778229170.363289,251.3,-12.0,4125.1,133980,-12.0
1778229170.3633413,254.9,-12.0,3478.1,133981,-12.0
1778229170.3633542,279.0,-6.0,3053.4,133982,-6.0
1778229170.3633647,294.9,-11.0,2578.7,133983,-11.0
1778229170.363374,337.8,-12.0,3405.6,133984,-12.0
1778229170.3633828,341.4,-12.0,2858.5,133985,-12.0
1778229170.3633914,71.1,-11.0,2876.0,133986,-11.0
1778229170.3634002,79.8,-6.0,1906.6,133987,-6.0
1778229170.3634086,87.3,-12.0,4060.2,133988,-12.0
1778229170.3634176,87.8,-11.0,3782.9,133989,-11.0
1778229170.3634262,90.7,-12.0,2056.5,133990,-12.0
1778229170.3634346,94.7,-11.0,130.4,133991,-11.0
1778229170.3634424,100.0,-6.0,2049.0,133992,-6.0
1778229170.36345,130.4,-12.0,3460.6,133993,-12.0
1778229170.3634589,130.8,-12.0,3238.2,133994,-12.0
1778229170.3634672,138.7,-12.0,3250.7,133995,-12.0
1778229170.3634758,146.1,-11.0,160.3,133996,-11.0
1778229170.3634846,146.5,-6.0,160.3,133997,-6.0
1778229170.3634934,168.0,-6.0,2781.0,133998,-6.0
1778229170.363501,177.6,-11.0,4057.7,133999,-11.0
1778229174.3288693,204.3,-11.0,3150.8,134000,-11.0
1778229174.3289042,211.2,-6.0,2174.0,134001,-6.0
1778229174.3289135,222.5,-11.0,1254.6,134002,-11.0
1778229174.3289213,230.4,-12.0,2226.4,134003,-12.0
1778229174.3289278,254.4,-6.0,3952.8,134004,-6.0
1778229174.3289337,262.8,-12.0,2149.0,134005,-12.0
1778229174.3289394,282.2,-11.0,2101.5,134006,-11.0
1778229174.3289454,288.0,-12.0,3008.4,134007,-12.0
1778229174.3289514,297.8,-12.0,2366.3,134008,-12.0
1778229174.328957,301.8,-12.0,3857.8,134009,-12.0
1778229174.3289628,335.0,-12.0,2718.6,134010,-12.0
1778229174.3289688,338.0,-12.0,2348.8,134011,-12.0
1778229174.328974,351.5,-12.0,3245.7,134012,-12.0
1778229174.3289795,3.5,-11.0,3992.7,134013,-11.0
1778229174.3289857,32.2,-6.0,2111.5,134014,-6.0
1778229174.3289914,88.9,-12.0,165.3,134015,-12.0
1778229174.328997,89.2,-12.0,1999.1,134016,-12.0
1778229174.3290033,107.2,-12.0,3078.3,134017,-12.0
1778229174.3290088,129.9,-11.0,177.8,134018,-11.0
1778229174.3290143,130.5,-12.0,177.8,134019,-12.0
1778229174.3290195,138.7,-12.0,172.8,134020,-12.0
1778229174.3290253,139.3,-12.0,172.8,134021,-12.0
